Epoch,CNN+LSTM_Accuracy,CNN+LSTM_Val_Accuracy,CNN+GRU_Accuracy,CNN+GRU_Val_Accuracy
1,0.9963235259056091,0.9818840622901917,0.916640043258667,0.37228259444236755
2,0.9948049783706665,0.9787137508392334,0.9566016793251038,0.72826087474823
3,0.9954443573951721,0.9954710006713867,0.9661125540733337,0.8944746255874634
4,0.9975223541259766,0.9855072498321533,0.9734655022621155,0.9551630616188049
5,0.998641312122345,0.989130437374115,0.98097825050354,0.9153079986572266
6,0.9984814524650574,0.9927536249160767,0.980099081993103,0.9610507488250732
7,0.9992806911468506,0.9936594367027283,0.9828165173530579,0.9637681245803833
8,0.9992806911468506,0.9913949370384216,0.986892580986023,0.9107789993286133
9,0.9997602105140686,0.9923007488250732,0.9874520301818848,0.9583333134651184
